P_ID,amenity,geometry,Latitude,Longitude,grid number,Slow,Fast,Rapid,Total
99,parking,POINT (-3.023821144706143 56.48078813255485),56.48078813,-3.023821158,134,0,0,0,0
100,parking,POINT (-3.023208493760014 56.48195564107347),56.48195564,-3.023208507,134,0,0,0,0
101,parking,POINT (-3.024790184373596 56.48213801040147),56.48213801,-3.024790197,134,0,0,0,0
102,parking,POINT (-3.014599328336685 56.45586195364368),56.45586195,-3.014599341,143,0,0,0,0
103,parking,POINT (-3.010292800956956 56.45363655125273),56.45363655,-3.010292814,143,0,0,0,0
104,parking,POINT (-3.015860689854919 56.46236714321811),56.46236714,-3.015860703,144,0,0,0,0
106,parking,POINT (-3.011664309093877 56.46804438431585),56.46804438,-3.011664322,145,0,0,0,0
107,parking,POINT (-3.013035126280976 56.47209846636402),56.47209847,-3.013035139,146,0,0,0,0
108,parking,POINT (-3.010563664135647 56.4717284153367),56.47172842,-3.010563677,146,0,0,0,0
109,parking,POINT (-3.011251210603661 56.47169222154785),56.47169222,-3.011251224,146,0,0,0,0
110,parking,POINT (-3.010869962460045 56.47245298987484),56.47245299,-3.010869975,146,0,0,0,0
111,parking,POINT (-3.011505429400571 56.4725637499019),56.47256375,-3.011505442,146,0,0,0,0
112,parking,POINT (-3.013562057956047 56.47329952851339),56.47329953,-3.013562071,147,0,0,0,0
114,parking,POINT (-3.01240476046485 56.48309642095948),56.48309642,-3.012404773,149,0,0,0,0
116,parking,POINT (-3.007006494680371 56.45420735626885),56.45420736,-3.007006508,157,0,0,0,0
117,parking,POINT (-3.004274085329449 56.47314126395663),56.47314126,-3.004274098,160,0,0,0,0
118,parking,POINT (-3.006511853215568 56.47343029629891),56.4734303,-3.006511866,161,0,0,0,0
119,parking,POINT (-3.003508612753365 56.47426331443154),56.47426331,-3.003508626,161,0,0,0,0
120,parking,POINT (-3.004483537063536 56.47386225001285),56.47386225,-3.00448355,161,0,0,0,0
121,parking,POINT (-3.001722827469099 56.4795278286454),56.47952783,-3.00172284,162,0,0,0,0
122,parking,POINT (-3.006744621247655 56.49012604516906),56.49012605,-3.006744634,164,0,0,0,0
123,parking,POINT (-2.991472287058346 56.45746399999524),56.457464,-2.9914723,171,0,0,0,0
124,parking,POINT (-2.991211502602494 56.45670172661993),56.45670173,-2.991211516,171,0,0,0,0
125,parking,POINT (-2.992555406967475 56.45542336960006),56.45542337,-2.99255542,171,0,0,0,0
