Point_ID,Latitude,Longitude,grid_number,Slow,Fast,Rapid,Total,Distance,centre_point_x,centre_point_y,bi(not_delete)
129,56.4597364,-2.967944934,214,0,0,0,0,34.27636653,-2.968479968,56.45992007,0
130,56.45846151,-2.988305806,185,0,0,0,0,1204.552667,-2.968479968,56.45992007,0
131,56.45509685,-2.979680381,199,0,0,0,0,738.9178679,-2.968479968,56.45992007,0
132,56.46793935,-2.8552737,397,0,0,0,0,6876.691348,-2.968479968,56.45992007,0
133,56.458505,-2.986078531,185,0,0,0,0,1069.790616,-2.968479968,56.45992007,0
134,56.47209847,-3.013035139,146,0,0,0,0,2798.762761,-2.968479968,56.45992007,0
135,56.46935392,-2.891303278,342,0,0,0,0,4711.171118,-2.968479968,56.45992007,0
136,56.46952201,-2.883748082,356,0,0,0,0,5167.016063,-2.968479968,56.45992007,0
137,56.46507108,-2.87757048,355,0,0,0,0,5517.309884,-2.968479968,56.45992007,0
138,56.46854695,-2.878729,355,0,0,0,0,5463.341071,-2.968479968,56.45992007,0
139,56.46470943,-2.872891033,369,0,0,0,0,5799.281673,-2.968479968,56.45992007,0
140,56.4684423,-2.877529948,355,0,0,0,0,5535.071039,-2.968479968,56.45992007,0
142,56.46867715,-2.89565439,327,0,0,0,0,4444.505214,-2.968479968,56.45992007,0
143,56.47133229,-3.049002595,90,0,0,0,0,4927.862415,-2.968479968,56.45992007,0
144,56.4591976,-2.980337343,200,0,0,0,0,719.8058026,-2.968479968,56.45992007,0
145,56.46773295,-2.867839205,369,0,0,0,0,6116.469291,-2.968479968,56.45992007,0
146,56.45472848,-2.986335667,185,0,0,0,0,1126.733448,-2.968479968,56.45992007,0
147,56.48309642,-3.012404773,149,0,0,0,0,3009.300003,-2.968479968,56.45992007,0
148,56.48187962,-3.021718848,134,0,0,0,0,3489.544139,-2.968479968,56.45992007,0
149,56.45420736,-3.007006508,157,0,0,0,0,2359.960927,-2.968479968,56.45992007,0
150,56.46418249,-2.991290971,187,0,0,0,0,1406.109206,-2.968479968,56.45992007,0
151,56.47520062,-2.988010773,189,0,0,0,0,1502.592336,-2.968479968,56.45992007,0
152,56.47074609,-3.044099912,104,0,0,0,0,4628.754,-2.968479968,56.45992007,0
153,56.46650362,-2.871183112,369,0,0,0,0,5908.984979,-2.968479968,56.45992007,0
154,56.46710321,-2.871946338,369,0,0,0,0,5865.429207,-2.968479968,56.45992007,0
155,56.48756449,-2.985445173,191,0,0,0,0,1965.335215,-2.968479968,56.45992007,0
156,56.47092376,-3.049572271,90,0,0,0,0,4958.652507,-2.968479968,56.45992007,0
157,56.47316716,-2.929429048,286,0,0,0,0,2498.649383,-2.968479968,56.45992007,0
158,56.47341014,-2.930076838,272,0,0,0,0,2466.350952,-2.968479968,56.45992007,0
159,56.47291655,-2.900236583,328,0,0,0,0,4209.387076,-2.968479968,56.45992007,0
160,56.47446815,-2.893679016,343,0,0,0,0,4617.337938,-2.968479968,56.45992007,0
161,56.47329953,-3.013562071,147,0,0,0,0,2849.419379,-2.968479968,56.45992007,0
162,56.46723307,-3.046157288,89,0,0,0,0,4727.511179,-2.968479968,56.45992007,0
163,56.45661649,-2.969199011,213,0,0,0,0,204.8603485,-2.968479968,56.45992007,0
164,56.47030741,-2.976438718,202,0,0,0,0,792.9081329,-2.968479968,56.45992007,0
165,56.47103119,-2.977106725,202,0,0,0,0,852.3555552,-2.968479968,56.45992007,0
166,56.4681477,-2.976406182,201,0,0,0,0,692.2430363,-2.968479968,56.45992007,0
167,56.4804491,-2.95175702,246,0,0,0,0,1604.395816,-2.968479968,56.45992007,0
168,56.46570972,-2.969356531,215,0,0,0,0,354.8099393,-2.968479968,56.45992007,0
169,56.48472902,-2.995994997,177,0,0,0,0,2244.85313,-2.968479968,56.45992007,0
170,56.46707842,-3.038483035,103,0,0,0,0,4263.811966,-2.968479968,56.45992007,0
171,56.47096684,-2.959875839,230,0,0,0,0,848.4358874,-2.968479968,56.45992007,0
172,56.47203584,-2.958418819,230,0,0,0,0,954.2546029,-2.968479968,56.45992007,0
173,56.4713931,-2.978519673,202,0,0,0,0,923.771515,-2.968479968,56.45992007,0
176,56.45387892,-3.034242551,115,0,0,0,0,4001.527239,-2.968479968,56.45992007,0
177,56.45366635,-3.033400675,115,0,0,0,0,3951.946342,-2.968479968,56.45992007,0
178,56.45670173,-2.991211516,171,0,0,0,0,1391.107878,-2.968479968,56.45992007,0
179,56.4734303,-3.006511866,161,0,0,0,0,2445.548175,-2.968479968,56.45992007,0
180,56.47314126,-3.004274098,160,0,0,0,0,2312.095382,-2.968479968,56.45992007,0
181,56.47426331,-3.003508626,161,0,0,0,0,2293.533735,-2.968479968,56.45992007,0
182,56.47386225,-3.00448355,161,0,0,0,0,2339.423537,-2.968479968,56.45992007,0
183,56.46604328,-3.063638974,61,0,0,0,0,5777.890255,-2.968479968,56.45992007,0
184,56.46624583,-3.063191524,61,0,0,0,0,5751.639013,-2.968479968,56.45992007,0
185,56.45602192,-2.984464611,185,0,0,0,0,996.9417409,-2.968479968,56.45992007,0
186,56.4670616,-2.87758865,355,0,0,0,0,5524.347618,-2.968479968,56.45992007,0
187,56.48622935,-2.974727494,205,0,0,0,0,1638.487498,-2.968479968,56.45992007,0
188,56.45542337,-2.99255542,171,0,0,0,0,1484.029843,-2.968479968,56.45992007,0
189,56.45661096,-2.993193182,171,0,0,0,0,1510.811139,-2.968479968,56.45992007,0
190,56.4606438,-2.979186014,200,0,0,0,0,650.1914958,-2.968479968,56.45992007,0
