,amenity,geometry,Latitude,Longitude,grid number,distance1,city center_x,city center_y,Distance
113,parking,POINT (-2.892704468325703 56.48675400788765),56.48675400787473,-2.892704481354522,345,0.08038647039355447,-2.96847996830906,56.4599200704235,4870.853859532625
114,parking,POINT (-2.894975320089832 56.48814509946724),56.48814509945269,-2.894975333117301,331,0.07873743492375163,-2.96847996830906,56.4599200704235,4770.933925950874
115,parking,POINT (-2.892173837243657 56.48543196773824),56.48543196772668,-2.892173850272478,345,0.08045794276403624,-2.96847996830906,56.4599200704235,4875.1845817288695
116,parking,POINT (-2.924385432352165 56.49719989041375),56.49719989038696,-2.924385445359302,291,0.05774176937602999,-2.96847996830906,56.4599200704235,3498.7444882768445
117,parking,POINT (-3.040213140423086 56.45449182375224),56.45449182375445,-3.040213153325126,101,0.07193827697720594,-2.96847996830906,56.4599200704235,4358.952847998738
127,parking,POINT (-2.85198532613075 56.48393211133703),56.48393211133151,-2.851985339190661,400,0.11894358630040287,-2.96847996830906,56.4599200704235,7207.143485235335
128,parking,POINT (-2.857337978822466 56.48188386923751),56.48188386923339,-2.857337991877533,400,0.11329142678626464,-2.96847996830906,56.4599200704235,6864.662432772783
132,parking,POINT (-2.855273686947719 56.46793934999016),56.46793935,-2.855273700000001,397,0.11348994682080314,-2.96847996830906,56.4599200704235,6876.691348480767
134,parking,POINT (-3.013035126280976 56.47209846636402),56.47209846635192,-3.013035139210101,146,0.04618957221506191,-2.96847996830906,56.4599200704235,2798.7627145765905
135,parking,POINT (-2.891303265037341 56.46935391984345),56.46935391984782,-2.891303278061784,342,0.07775113524884826,-2.96847996830906,56.4599200704235,4711.1711131959555
136,parking,POINT (-2.883748068624695 56.46952200947162),56.46952200947668,-2.88374808165513,356,0.08527420389259197,-2.96847996830906,56.4599200704235,5167.016080135144
137,parking,POINT (-2.877570466922241 56.46507107690343),56.46507107691356,-2.877570479956125,355,0.09105530155050304,-2.96847996830906,56.4599200704235,5517.309875863598
138,parking,POINT (-2.878728986965931 56.46854694999342),56.46854694999999,-2.878729,355,0.0901646236815812,-2.96847996830906,56.4599200704235,5463.3410709863765
139,parking,POINT (-2.872891019469697 56.46470943020226),56.46470943021326,-2.87289103250714,369,0.09570884292968605,-2.96847996830906,56.4599200704235,5799.281703663936
140,parking,POINT (-2.877529934674864 56.46844229955904),56.46844229956587,-2.877529947709842,355,0.09134842437914967,-2.96847996830906,56.4599200704235,5535.071054507722
142,parking,POINT (-2.895654376926474 56.46867714827046),56.46867714827499,-2.895654389947283,327,0.07335019615668668,-2.96847996830906,56.4599200704235,4444.505204645976
143,parking,POINT (-3.049002581772053 56.47133228772908),56.4713322877137,-3.049002594672344,90,0.08132731435329583,-2.96847996830906,56.4599200704235,4927.862376141057
145,parking,POINT (-2.867839192336507 56.46773294969626),56.46773294970487,-2.867839205378868,369,0.10094356961112617,-2.96847996830906,56.4599200704235,6116.469266882727
147,parking,POINT (-3.01240476046485 56.48309642095948),56.48309642093661,-3.012404773397903,149,0.04966418956551553,-2.96847996830906,56.4599200704235,3009.300050635732
148,parking,POINT (-3.021718835532464 56.48187961831313),56.4818796182904,-3.021718848457741,134,0.057589930560856324,-2.96847996830906,56.4599200704235,3489.544125637526
152,fuel,POINT (-3.044099899167014 56.47074608721983),56.47074608720557,-3.044099912071024,104,0.07639095845666731,-2.96847996830906,56.4599200704235,4628.753980743122
153,parking,POINT (-2.871183098826904 56.46650362414123),56.46650362415068,-2.871183111866253,369,0.09751933886840539,-2.96847996830906,56.4599200704235,5908.9850043264105
154,parking,POINT (-2.87194632506792 56.46710320501497),56.46710320502373,-2.871946338106861,369,0.09680051230597872,-2.96847996830906,56.4599200704235,5865.429178093602
156,parking,POINT (-3.049572257611515 56.47092376271019),56.47092376269514,-3.049572270511224,90,0.08183546126256107,-2.96847996830906,56.4599200704235,4958.6524994302945
157,parking,POINT (-2.929429035429496 56.47316716248137),56.47316716247765,-2.929429048425117,286,0.0412366316722555,-2.96847996830906,56.4599200704235,2498.6494064433523
158,parking,POINT (-2.930076825497733 56.47341014310342),56.4734101430994,-2.930076838492919,272,0.040703592476296874,-2.96847996830906,56.4599200704235,2466.350985923008
159,parking,POINT (-2.900236569616206 56.47291655271621),56.47291655271607,-2.900236582634746,328,0.06946990888344608,-2.96847996830906,56.4599200704235,4209.387128825162
160,parking,POINT (-2.893679002853658 56.47446814893717),56.47446814893623,-2.893679015877844,343,0.07620255292986994,-2.96847996830906,56.4599200704235,4617.337932957153
161,parking,POINT (-3.013562057956047 56.47329952851339),56.47329952850005,-3.013562070885129,147,0.047025587408360776,-2.96847996830906,56.4599200704235,2849.4193463576794
162,parking,POINT (-3.046157275057056 56.4672330655042),56.46723306549318,-3.046157287958337,89,0.07802080417930332,-2.96847996830906,56.4599200704235,4727.511150820103
170,parking,POINT (-3.038483021964263 56.46707842316384),56.46707842315383,-3.0384830348716,103,0.07036811310509355,-2.96847996830906,56.4599200704235,4263.811977661551
174,parking,POINT (-3.015860689854919 56.46236714321811),56.46236714321528,-3.015860702778765,144,0.047443884370242835,-2.96847996830906,56.4599200704235,2874.7651957430176
175,parking,POINT (-3.048641173908971 56.47498747000321),56.47498746998426,-3.048641186810686,91,0.08156498931029729,-2.96847996830906,56.4599200704235,4942.263804341065
176,parking,POINT (-3.034242538427789 56.45387892470678),56.45387892471027,-3.034242551334383,115,0.06603947885690058,-2.96847996830906,56.4599200704235,4001.527233337133
177,parking,POINT (-3.033400662256021 56.453666351005),56.45366635100881,-3.033400675163219,115,0.06522121729131779,-2.96847996830906,56.4599200704235,3951.946346338197
179,parking,POINT (-3.006511853215568 56.47343029629891),56.47343029628624,-3.006511866150288,161,0.04036027076554149,-2.96847996830906,56.4599200704235,2445.548108626528
183,parking,POINT (-3.063638961562592 56.46604327962736),56.46604327961553,-3.063638974449579,61,0.09535580811078435,-2.96847996830906,56.4599200704235,5777.890280433409
184,parking,POINT (-3.063191511484125 56.46624583246695),56.46624583245501,-3.063191524371532,61,0.09492256906054589,-2.96847996830906,56.4599200704235,5751.63904574649
