,amenity,geometry,Latitude,Longitude,grid number,distance1,city center_x,city center_y,Distance
95,parking,POINT (-3.000219454121382 56.45140989190272),56.45140989191245,-3.000219467054209,156,0.03286059827336231,-2.96847996830906,56.4599200704235,1991.1207836684887
97,parking,POINT (-2.985352610642077 56.45200206923516),56.45200206924599,-2.985352623586867,184,0.01863816618583284,-2.96847996830906,56.4599200704235,1129.3415826869489
98,parking,POINT (-2.981770326096591 56.4526850025141),56.45268500252466,-2.98177033904443,198,0.015132090463131779,-2.96847996830906,56.4599200704235,916.898090863959
99,parking,POINT (-2.959634697554854 56.46069764522117),56.46069764522633,-2.959634710522713,228,0.008879369790752639,-2.96847996830906,56.4599200704235,538.0272625948354
100,parking,POINT (-2.95764302005733 56.46385876605992),56.4638587660622,-2.957643033027754,229,0.01153050257471656,-2.96847996830906,56.4599200704235,698.6672345911621
101,parking,POINT (-2.960062050271054 56.46258087842261),56.46258087842585,-2.960062063239167,228,0.008828421432571062,-2.96847996830906,56.4599200704235,534.9401509718143
102,parking,POINT (-2.96385543444916 56.46205625260881),56.46205625261216,-2.963855447414109,228,0.005094062018760058,-2.96847996830906,56.4599200704235,308.66427550929626
103,parking,POINT (-2.98124594427512 56.45945739445177),56.45945739445575,-2.981245957225497,200,0.012774370515439558,-2.96847996830906,56.4599200704235,774.0368699310079
104,parking,POINT (-2.981071296612528 56.45971873583675),56.45971873584046,-2.981071309563123,200,0.012592950813475078,-2.96847996830906,56.4599200704235,763.0441139214121
105,parking,POINT (-2.976348794561207 56.46005288005502),56.46005288005892,-2.976348807515646,200,0.00786995990195426,-2.96847996830906,56.4599200704235,476.8641336673808
106,parking,POINT (-2.951854974926306 56.48521287512658),56.48521287510847,-2.951854987907996,247,0.030267407258765436,-2.96847996830906,56.4599200704235,1833.9916747510845
107,parking,POINT (-2.959574743967205 56.48689018987532),56.4868901898547,-2.959574756943316,233,0.02840229095692188,-2.96847996830906,56.4599200704235,1720.9787648318509
108,parking,POINT (-2.948853215692557 56.4843140935044),56.48431409348753,-2.948853228676338,247,0.0313093799021779,-2.96847996830906,56.4599200704235,1897.1278772344808
109,parking,POINT (-2.969111259066384 56.47393234687818),56.47393234686923,-2.969111272030895,217,0.014026490494091872,-2.96847996830906,56.4599200704235,849.9065206416026
110,parking,POINT (-2.968935431906418 56.4735670017177),56.47356700170914,-2.968935444870956,217,0.013654530105919821,-2.96847996830906,56.4599200704235,827.3683412259486
111,parking,POINT (-2.948478887012798 56.49430465002668),56.49430465,-2.9484789,249,0.03977866320222549,-2.96847996830906,56.4599200704235,2410.3067871623352
112,parking,POINT (-2.960097089496005 56.49000352017959),56.49000352015585,-2.960097102472675,234,0.031229575524329267,-2.96847996830906,56.4599200704235,1892.2922940828814
118,parking,POINT (-2.972668114037214 56.45523642893837),56.45523642894742,-2.972668126993056,213,0.0062830860760272386,-2.96847996830906,56.4599200704235,380.7107578347768
119,parking,POINT (-2.977054592763964 56.45633937174465),56.45633937175214,-2.977054605716681,199,0.009292244596828229,-2.96847996830906,56.4599200704235,563.0445675322384
120,parking,POINT (-2.978813812883423 56.45577952300436),56.4557795230122,-2.978813825834572,199,0.011132508442522475,-2.96847996830906,56.4599200704235,674.5515936707675
121,parking,POINT (-2.971941536316982 56.45663116449995),56.45663116450773,-2.971941549273835,213,0.004774876427559071,-2.96847996830906,56.4599200704235,289.3238770417802
122,parking,POINT (-2.976279411907084 56.45613051509342),56.45613051510119,-2.976279424860349,199,0.008671346610320851,-2.96847996830906,56.4599200704235,525.4225231863531
123,parking,POINT (-2.977326417837572 56.45605969434038),56.45605969434811,-2.977326430789985,199,0.009652067232973478,-2.96847996830906,56.4599200704235,584.8472846740003
124,parking,POINT (-2.959431292938551 56.48529285645422),56.48529285643517,-2.959431305914274,233,0.02693801331072772,-2.96847996830906,56.4599200704235,1632.2538539174386
125,parking,POINT (-3.000520978110146 56.48034702790817),56.48034702788936,-3.000520991051776,176,0.03799852273064353,-2.96847996830906,56.4599200704235,2302.4428139829574
126,parking,POINT (-2.999931666007568 56.47926389413584),56.47926389411816,-2.999931678949328,176,0.036924160346977646,-2.96847996830906,56.4599200704235,2237.3440213951535
129,parking,POINT (-2.967944921033377 56.45973639564662),56.4597363956518,-2.967944933994363,214,0.0005656837806244764,-2.96847996830906,56.4599200704235,34.27645240100836
130,parking,POINT (-2.988305793360621 56.45846151120838),56.45846151121251,-2.988305806305095,185,0.019879417678015415,-2.96847996830906,56.4599200704235,1204.5526796756394
131,parking,POINT (-2.979680368302545 56.45509685251806),56.45509685252649,-2.979680381252794,199,0.01219478089152178,-2.96847996830906,56.4599200704235,738.917821379881
133,parking,POINT (-2.986078517593143 56.45850500026069),56.45850500026503,-2.986078530539395,185,0.01765536224857421,-2.96847996830906,56.4599200704235,1069.7905870091502
141,parking,POINT (-2.962599478352547 56.46349352767577),56.46349352767783,-2.962599491318939,228,0.006881105026072487,-2.96847996830906,56.4599200704235,416.94649373213383
144,parking,POINT (-2.980337329739708 56.45919760451942),56.45919760452373,-2.980337342690723,200,0.01187936379623289,-2.96847996830906,56.4599200704235,719.8057672191644
146,parking,POINT (-2.98633565402001 56.45472848219924),56.45472848220727,-2.986335666964876,185,0.0185951220134258,-2.96847996830906,56.4599200704235,1126.7334090443849
149,parking,POINT (-3.007006494680371 56.45420735626885),56.45420735627507,-3.007006507608692,157,0.038947777001361344,-2.96847996830906,56.4599200704235,2359.960936193911
150,parking,POINT (-2.991290958243931 56.464182494939),56.46418249493716,-2.99129097118783,187,0.023205820715284407,-2.96847996830906,56.4599200704235,1406.1092723848255
151,parking,POINT (-2.988010760090726 56.47520062217883),56.4752006221665,-2.98801077304067,189,0.024798136926686518,-2.96847996830906,56.4599200704235,1502.5924184407845
155,parking,POINT (-2.985445160146377 56.48756448953632),56.4875644895121,-2.985445173102214,191,0.03243504401754284,-2.96847996830906,56.4599200704235,1965.3351933912843
163,parking,POINT (-2.969198998347408 56.45661649451471),56.45661649452281,-2.969199011306426,213,0.0033809224427169353,-2.96847996830906,56.4599200704235,204.86008464191366
164,parking,POINT (-2.97643870462909 56.47030741086962),56.47030741086342,-2.976438717586669,202,0.013085814131288594,-2.96847996830906,56.4599200704235,792.9081592270574
165,parking,POINT (-2.977106711649665 56.47103118596361),56.47103118595662,-2.977106724606942,202,0.014066904869706092,-2.96847996830906,56.4599200704235,852.3553471229418
166,parking,POINT (-2.976406168855561 56.46814769683766),56.46814769683358,-2.976406181812489,201,0.01142447796819753,-2.96847996830906,56.4599200704235,692.2428902787384
167,fuel,POINT (-2.951757006533383 56.48044910397456),56.48044910396116,-2.95175701951366,246,0.026478259655877256,-2.96847996830906,56.4599200704235,1604.3960209612328
168,parking,POINT (-2.969356517911832 56.46570972156566),56.46570972156477,-2.969356530873574,215,0.005855631671060321,-2.96847996830906,56.4599200704235,354.8100319039829
169,parking,POINT (-2.995994984290147 56.48472901699015),56.48472901696754,-2.995994997236735,177,0.0370480855850327,-2.96847996830906,56.4599200704235,2244.8530178857163
171,parking,POINT (-2.95987582601201 56.47096683603178),56.47096683602681,-2.959875838982898,230,0.014002216672934683,-2.96847996830906,56.4599200704235,848.4356980654869
172,parking,POINT (-2.958418806409703 56.47203583777614),56.47203583777026,-2.958418819382077,230,0.015748604259795927,-2.96847996830906,56.4599200704235,954.2544841877971
173,parking,POINT (-2.978519659841823 56.47139309667129),56.47139309666378,-2.978519672798094,202,0.015245523845946438,-2.96847996830906,56.4599200704235,923.7713548321071
178,parking,POINT (-2.991211502602494 56.45670172661993),56.45670172662547,-2.991211515544117,171,0.02295824419466708,-2.96847996830906,56.4599200704235,1391.1078791768057
180,parking,POINT (-3.004274085329449 56.47314126395663),56.47314126394449,-3.004274098265853,160,0.0381578261629679,-2.96847996830906,56.4599200704235,2312.095479840472
181,parking,POINT (-3.003508612753365 56.47426331443154),56.47426331441841,-3.003508625690728,161,0.037851492523542175,-2.96847996830906,56.4599200704235,2293.5338191207456
182,parking,POINT (-3.004483537063536 56.47386225001285),56.47386224999999,-3.00448355,161,0.038608836629963936,-2.96847996830906,56.4599200704235,2339.4235372001513
